#Position (bp)	Coverage
3860412.5	1.6981559222176286
1.15812365E7	1.1520762550732926
1.93020605E7	1.246781172579507
2.70228845E7	0.9461536747891158
3.47437085E7	1.0422498945708385
4.24645325E7	1.0935498594450541
5.01853565E7	0.9010762322777983
5.79061805E7	0.9501054550654179
6.56270045E7	1.0287528895879507
7.33478285E7	1.11342662389403
8.10686525E7	1.229318917255464
8.87894765E7	1.2124253836119046
9.65103005E7	1.1593210776466345
1.042311245E8	1.1071358445678856
1.119519485E8	1.190430451464766
1.196727725E8	1.033626333147861
1.273935965E8	3.521577101096981
1.351144205E8	0.0
1.428352445E8	6.553244835007248
1.505560685E8	2.04203385545377
1.582768925E8	2.023940579399297
1.659977165E8	1.718551284163452
1.737185405E8	1.6288684990099502
1.814393645E8	1.7482613254751047
1.891601885E8	1.6939574066187755
1.968810125E8	1.6922749437106712
2.046018365E8	2.1687063453330886
2.123226605E8	1.7987449267073048
2.200434845E8	1.8761628292524217
2.277643085E8	1.8469230745319412
2.354851325E8	1.781351187386217
2.432059565E8	1.760317292558411
2.480113955E8	1.4778757643961495
2.518718075E8	2.012116753018898
2.586476045E8	1.8776179848161285
2.663684285E8	1.7140562976179745
2.740892525E8	1.8835402801566257
2.818100765E8	1.6197881210606537
2.895309005E8	1.8396304591323414
2.972517245E8	1.9113417168944662
3.049725485E8	1.8001736602207226
3.126933725E8	1.8530259205494128
3.204141965E8	1.8192111360134617
3.281350205E8	1.563069434039683
3.358558445E8	1.8699362917740385
3.435766685E8	1.441523469515689
3.512974925E8	1.9393027220928751
3.590183165E8	1.849489769485744
3.667391405E8	1.653293612184399
3.744599645E8	1.4525472928796201
3.821807885E8	1.8878791952776024
3.899016125E8	1.9728943439197681
3.976224365E8	1.90903976052297
4.053432605E8	1.7722588936103194
4.130640845E8	2.129259389930401
4.207849085E8	1.883051990305698
4.285057325E8	2.0895360391585145
4.362265565E8	1.843440803727685
4.439473805E8	1.7693761702118842
4.516682045E8	1.783232592790614
4.593890285E8	1.8972310468416325
4.671098525E8	1.963506226796518
4.748306765E8	1.7413276095919297
4.825515005E8	1.9256631157503397
4.88780932E8	2.348722330061023
4.92641344E8	1.1931413092126988
4.979931485E8	1.0623034536210125
5.057139725E8	1.1357010598868722
5.134347965E8	1.1236239810673059
5.211556205E8	1.1299058235234996
5.288764445E8	1.0945221649917158
5.365972685E8	1.204453954655617
5.443180925E8	1.4898166309709948
5.520389165E8	1.1398095591869468
5.597597405E8	1.217122032570617
5.674805645E8	1.3829194914946903
5.752013885E8	1.1719835862078969
5.829222125E8	0.685486419584231
5.906430365E8	1.1754102929946337
5.983638605E8	1.109045614820387
6.060846845E8	1.3488393207771605
6.138055085E8	1.1297121913412351
6.215263325E8	1.163194627930905
6.292471565E8	1.0487608576493908
6.369679805E8	1.2646076377340034
6.446888045E8	1.148047799043211
6.524096285E8	1.054416083050203
6.601304525E8	1.245975429565549
6.678512765E8	1.1663784849907213
6.755721005E8	1.1185386430256667
6.832929245E8	1.1367938188980866
6.882994235E8	0.9816034908344654
6.921598355E8	1.3666972451714514
6.987345725E8	1.2479753456366833
7.064553965E8	1.0351365346496695
7.141762205E8	1.0668419588375542
7.218970445E8	1.154125388689083
7.296178685E8	1.0313081867945701
7.373386925E8	0.8005802230435508
7.450595165E8	1.000280799044247
7.527803405E8	1.1202731729152224
7.605011645E8	1.0434932851726706
7.682219885E8	1.1412961880752623
7.759428125E8	1.1584947409758337
7.836636365E8	1.1524816522174317
7.913844605E8	1.0496700870269806
7.991052845E8	1.245802650079836
8.068261085E8	1.1953792755799122
8.145469325E8	1.1801496835052838
8.222677565E8	1.0624526604932323
8.299885805E8	1.2320499729044465
8.377094045E8	1.2173629394997219
8.454302285E8	1.2553647123674883
8.531510525E8	1.093754500814939
8.608718765E8	1.1399304012110625
8.685927005E8	1.3229734287428387
8.76056589E8	1.3174589871753013
8.79917001E8	1.6400847683562607
8.840343485E8	1.594529029543997
8.917551725E8	1.3124614678433286
8.994759965E8	1.2095311329464316
9.071968205E8	1.044853373163279
9.149176445E8	1.1427702535377053
9.226384685E8	1.0183054295759106
9.303592925E8	0.7038024697881988
9.380801165E8	1.288880176520019
9.458009405E8	1.1311173522411597
9.535217645E8	1.2584228056487234
9.612425885E8	1.2054700379130519
9.689634125E8	1.319757580278996
9.766842365E8	1.2645882097558498
9.844050605E8	1.3178757863150359
9.921258845E8	1.116975208863717
9.998467085E8	1.1939142765072743
1.0075675325E9	1.1821455844609332
1.0152883565E9	1.3376286002633915
1.0230091805E9	1.2130591242592759
1.0307300045E9	0.9350358200109211
1.0384508285E9	0.9965655220220018
1.0461716525E9	1.221590078986388
1.0538924765E9	0.9871350519063768
1.0594756065E9	1.1130115317771103
1.0633360185E9	0.7706898180937028
1.0693341245E9	0.6273348544145029
1.0770549485E9	0.6056730473327717
1.0847757725E9	1.4635647697706877
1.0924965965E9	1.9225542506861961
1.1002174205E9	1.7682286243022765
1.1079382445E9	1.8712342102345554
1.1156590685E9	1.9268820270996982
1.1233798925E9	1.137999001142883
1.1311007165E9	1.6745786460098042
1.1388215405E9	1.5802727791748652
1.1465423645E9	1.5717019323326111
1.1542631885E9	1.8412800239974385
1.1619840125E9	1.8222534278724654
1.1697048365E9	1.8525819264886754
1.1774256605E9	1.8017746551404359
1.1851464845E9	1.8528081976742379
1.1928673085E9	1.9470399791524842
1.2005881325E9	1.803315811887436
1.2083089565E9	1.8159319523408382
1.2160297805E9	1.8857110329156577
1.2237506045E9	1.921008301704585
1.22980766E9	2.1781126523261514
1.233668072E9	1.448476455708832
1.2391922525E9	1.0719804000194797
1.2469130765E9	1.4062543065351574
1.2546339005E9	1.2343758904489988
1.2623547245E9	1.3643578716468605
1.2700755485E9	1.2207146542907856
1.2777963725E9	1.207205474441588
1.2855171965E9	1.085343092913399
1.2932380205E9	0.5545029908724768
1.3009588445E9	0.8420817518959116
1.3086796685E9	1.073280002238103
1.3164004925E9	1.400719664118752
1.3241213165E9	1.2341364082382917
1.3318421405E9	1.140785232249822
1.3395629645E9	1.1531217393376665
1.3472837885E9	1.2744822314302204
1.3550046125E9	1.1619954035994084
1.3627254365E9	1.363690714877065
1.3704462605E9	1.092397780340544
1.3781670845E9	1.223249357840562
1.3858879085E9	1.3568844465305776
1.3905492985E9	1.400445455430736
1.3944097105E9	2.081794214223938
1.4013295565E9	1.8551289344246158
1.4090503805E9	1.6833027148397632
1.4167712045E9	1.767223161672899
1.4244920285E9	1.5641181563004156
1.4322128525E9	1.2898568857417292
1.4399336765E9	1.1221587229549592
1.4476545005E9	1.0967260748334633
1.4553753245E9	1.1535755769073353
1.4630961485E9	1.1521142043906194
1.4708169725E9	1.1585320426938885
1.4785377965E9	1.160773254253691
1.4862586205E9	1.1994977479087725
1.4939794445E9	1.1776665288575416
1.5017002685E9	1.1431734488443202
1.5094210925E9	1.758072324922832
1.5171419165E9	1.4464041661874432
1.5248627405E9	1.3919354980763712
1.5325835645E9	2.10201760848324
1.5364664445E9	0.0
1.5403268565E9	1.1951935723918847
1.5480252125E9	1.3625483497616317
1.5557460365E9	1.2807838904241309
1.5634668605E9	1.1682940836366689
1.5711876845E9	1.243293850500931
1.5789085085E9	0.9314715631388567
1.5866293325E9	0.0
1.5943501565E9	0.08693553952272452
1.6020709805E9	1.2766168481498865
1.6097918045E9	1.1846023170583866
1.6175126285E9	1.2276119750948862
1.6252334525E9	1.202269343272169
1.6329542765E9	1.1885587600494456
1.6406751005E9	1.0440269069726236
1.6483959245E9	1.1039521170279234
1.6561167485E9	1.0011650310899458
1.6638375725E9	1.2703637591013601
1.671290807E9	1.7313154212321928
1.675151219E9	2.2684783969475633
1.6792792205E9	2.157797147040264
1.6870000445E9	1.8494132232518188
1.6947208685E9	1.7208878223360615
1.7024416925E9	1.6306833312092077
1.7101625165E9	1.6576321387458126
1.7178833405E9	1.7960632181228324
1.7256041645E9	1.2771989103753694
1.7333249885E9	1.2051463677970122
1.7410458125E9	1.0384545742786002
1.7487666365E9	1.2538863727498515
1.7564874605E9	1.0432082119732298
1.7642082845E9	1.0696476179226466
1.7719291085E9	1.1044471419112778
1.7796499325E9	1.282235937511333
1.7873707565E9	1.261676603429893
1.7950915805E9	1.3144119073300984
1.8028124045E9	1.6488715453169247
1.807676934E9	1.8053659058825287
1.811537346E9	1.5377642256426989
1.8182540525E9	1.2108212802156868
